STATE,COUNTRY|Asia/Yangon
Alsace,France|Europe/Paris
Bourgogne-Franche-Comté,France|Europe/Paris
Bretagne,France|Europe/Paris
,Monaco|Europe/Monaco
,Andorra|Europe/Andorra
,Spain|Europe/Madrid
Gipuzkoa,Spain|Europe/Madrid
Badajoz,Spain|Europe/Madrid
Las Palmas,Spain|Atlantic/Canary
Alicante,Spain|Europe/Madrid
Madrid,Spain|Europe/Madrid
Malaga,Spain|Europe/Madrid
Ourense,Spain|Europe/Madrid
Leon,Spain|Europe/Madrid
Salamanca,Spain|Europe/Madrid
Girona,Spain|Europe/Madrid
Castellon,Spain|Europe/Madrid
Cadiz,Spain|Europe/Madrid
Lerida,Spain|Europe/Madrid
Asturias,Spain|Europe/Madrid
Cantabria,Spain|Europe/Madrid
Jaen,Spain|Europe/Madrid
La Rioja,Spain|Europe/Madrid
Barcelona,Spain|Europe/Madrid
A Coruna,Spain|Europe/Madrid
Huelva,Spain|Europe/Madrid
Murcia,Spain|Europe/Madrid
Baleares,Spain|Europe/Madrid
Sevilla,Spain|Europe/Madrid
Valencia,Spain|Europe/Madrid
Valladolid,Spain|Europe/Madrid
Palencia,Spain|Europe/Madrid
Cordoba,Spain|Europe/Madrid
Ciudad Real,Spain|Europe/Madrid
Vizcaya,Spain|Europe/Madrid
Navarra,Spain|Europe/Madrid
Granada,Spain|Europe/Madrid
Huesca,Spain|Europe/Madrid
Almeria,Spain|Europe/Madrid
Zaragoza,Spain|Europe/Madrid
Teruel,Spain|Europe/Madrid
Caceres,Spain|Europe/Madrid
Lugo,Spain|Europe/Madrid
Santa Cruz de Tenerife,Spain|Atlantic/Canary
Pontevedra,Spain|Europe/Madrid
Guadalajara,Spain|Europe/Madrid
Tarragona,Spain|Europe/Madrid
Burgos,Spain|Europe/Madrid
Avila,Spain|Europe/Madrid
Alava,Spain|Europe/Madrid
Segovia,Spain|Europe/Madrid
Toledo,Spain|Europe/Madrid
Cuenca,Spain|Europe/Madrid
Niedersachsen / Bremen,Germany|Europe/Berlin
Buenos Aires,Argentina Republic|America/Argentina/Buenos_Aires
Albacete,Spain|Europe/Madrid
,Hungary|Europe/Budapest
Budapest,Hungary|Europe/Budapest
Baranya / Somogy / Tolna / Kaposvar / Pecs / Szekszard,Hungary|Europe/Budapest
Pest / Eger / Erd / Miskolc / Salgotarjan / Szolnok,Hungary|Europe/Budapest
Borsod-Abauj-Zemplen / Heves / Jasz-Nagykun-Szolnok / Nogr,Hungary|Europe/Budapest
,Bosnia and Hercegovina|Europe/Sarajevo
All Regions,Bosnia and Hercegovina|Europe/Sarajevo
,Croatia|Europe/Zagreb
Sisak-Moslavina,Croatia|Europe/Zagreb
Krapina-Zagorje,Croatia|Europe/Zagreb
Primorje-Gorski Kotar,Croatia|Europe/Zagreb
Varaždin,Croatia|Europe/Zagreb
Istria,Croatia|Europe/Zagreb
Brod-Posavina,Croatia|Europe/Zagreb
Karlovac,Croatia|Europe/Zagreb
Osijek-Baranja,Croatia|Europe/Zagreb
Zagreb,Croatia|Europe/Zagreb
City of Zagreb,Croatia|Europe/Zagreb
Požega-Slavonia,Croatia|Europe/Zagreb
Bjelovar-Bilogora,Croatia|Europe/Zagreb
Šibenik-Knin,Croatia|Europe/Zagreb
Dubrovnik-Neretva,Croatia|Europe/Zagreb
Vukovar-Srijem,Croatia|Europe/Zagreb
Zadar,Croatia|Europe/Zagreb
Medimurje,Croatia|Europe/Zagreb
Virovitica-Podravina,Croatia|Europe/Zagreb
Koprivnica-Križevci,Croatia|Europe/Zagreb
Split-Dalmatia,Croatia|Europe/Zagreb
,Serbia|Europe/Belgrade
All Regions,Serbia|Europe/Belgrade
,Kosovo|Europe/Belgrade
Lazio / Umbria / Sardinia,Italy|Europe/Rome
,Italy|Europe/Rome
Veneto / Trentino-Alto / Adige / Friuli-Venetia / Giuli,Italy|Europe/Rome
Piedmont / Liguria / Aosta,Italy|Europe/Rome
Molise / Campania / Calabria,Italy|Europe/Rome
Emilia-Romagna,Italy|Europe/Rome
Lombardy,Italy|Europe/Rome
Virginia,Italy|Europe/Rome
Sicily,Italy|Europe/Rome
Tuscany,Italy|Europe/Rome
Apulia / Basilicata,Italy|Europe/Rome
Marche / Abruzzo,Italy|Europe/Rome
Bucuresti / Ilfov,Romania|Europe/Bucharest
,Romania|Europe/Bucharest
Alba / Bihor / Bistrita-Nasaud / Cluj / Maramures / Salaj / Satu Mare,Romania|Europe/Bucharest
Arges / Dolj / Gorj / Mehedinti / Olt / Valcea,Romania|Europe/Bucharest
Braila / Constanta / Galati / Tulcea / Vrancea,Romania|Europe/Bucharest
Buzau / Calarasi / Dambovita / Giurgiu / Ialomita / Prahova / Teleorman,Romania|Europe/Bucharest
Hunedoara / Timis,Romania|Europe/Bucharest
Bacau / Botosani / Iasi / Neamt / Suceava / Vaslui,Romania|Europe/Bucharest
Brasov / Covasna / Harghita / Mures / Sibiu,Romania|Europe/Bucharest
,Switzerland|Europe/Zurich
St. Gallen,Switzerland|Europe/Zurich
Bern,Switzerland|Europe/Zurich
Aargau,Switzerland|Europe/Zurich
Lucerne,Switzerland|Europe/Zurich
Zug,Switzerland|Europe/Zurich
Solothurn,Switzerland|Europe/Zurich
Vaud,Switzerland|Europe/Zurich
Zurich,Switzerland|Europe/Zurich
Neuchatel,Switzerland|Europe/Zurich
Appenzell Outer-Rhodes,Switzerland|Europe/Zurich
Jura,Switzerland|Europe/Zurich
Schwyz,Switzerland|Europe/Zurich
Basel-City,Switzerland|Europe/Zurich
Ticino,Switzerland|Europe/Zurich
Appenzell Inner-Rhodes,Switzerland|Europe/Zurich
Thurgau,Switzerland|Europe/Zurich
Schaffhausen,Switzerland|Europe/Zurich
Grigioni Grisons,Switzerland|Europe/Zurich
Geneva,Switzerland|Europe/Zurich
Glarus,Switzerland|Europe/Zurich
Nidwalden,Switzerland|Europe/Zurich
Basel-Country,Switzerland|Europe/Zurich
Fribourg,Switzerland|Europe/Zurich
,Czech Republic|Europe/Prague
South Bohemian Region,Czech Republic|Europe/Prague
Prague,Czech Republic|Europe/Prague
Hradec Kralove Region,Czech Republic|Europe/Prague
Central Bohemian Region,Czech Republic|Europe/Prague
South Moravian Region,Czech Republic|Europe/Prague
Liberec Region,Czech Republic|Europe/Prague
Vysocina Region,Czech Republic|Europe/Prague
Moravian-Silesian Region,Czech Republic|Europe/Prague
Usti nad Labem Region,Czech Republic|Europe/Prague
Pilsen Region,Czech Republic|Europe/Prague
Olomouc Region,Czech Republic|Europe/Prague
Karlovy Vary Region,Czech Republic|Europe/Prague
Zlin Region,Czech Republic|Europe/Prague
Pardubice Region,Czech Republic|Europe/Prague
,Slovakia|Europe/Bratislava
Banskobystricky / Zilinsky,Slovakia|Europe/Bratislava
Bratislavsky,Slovakia|Europe/Bratislava
Kosicky / Presovsky,Slovakia|Europe/Bratislava
Nitriansky / Trenciansky / Trnavsky,Slovakia|Europe/Bratislava
,Austria|Europe/Vienna
Oberoesterreich,Austria|Europe/Vienna
Kaernten,Austria|Europe/Vienna
Vorarlberg,Austria|Europe/Vienna
Wien,Austria|Europe/Vienna
Burgenland,Austria|Europe/Vienna
Niederoesterreich,Austria|Europe/Vienna
Steiermark,Austria|Europe/Vienna
Tirol,Austria|Europe/Vienna
Salzburg,Austria|Europe/Vienna
England,United Kingdom|Europe/London
Wales,United Kingdom|Europe/London
,United Kingdom|Europe/London
Scotland,United Kingdom|Europe/London
Northern Ireland,United Kingdom|Europe/London
Channel Isles,United Kingdom|Europe/London
Isle of Man,United Kingdom|Europe/London
,Denmark|Europe/Copenhagen
Hovedstaden,Denmark|Europe/Copenhagen
Sjaelland,Denmark|Europe/Copenhagen
Nordjylland,Denmark|Europe/Copenhagen
Midtjylland,Denmark|Europe/Copenhagen
Syddanmark,Denmark|Europe/Copenhagen
Stockholm,Sweden|Europe/Stockholm
,Sweden|Europe/Stockholm
Skane,Sweden|Europe/Stockholm
Vastmanland,Sweden|Europe/Stockholm
Gotland,Sweden|Europe/Stockholm
Norrbotten,Sweden|Europe/Stockholm
Vastra Gotaland,Sweden|Europe/Stockholm
Dalarna,Sweden|Europe/Stockholm
Uppsala,Sweden|Europe/Stockholm
Vasternorrland,Sweden|Europe/Stockholm
Kalmar,Sweden|Europe/Stockholm
Halland,Sweden|Europe/Stockholm
Sodermanland,Sweden|Europe/Stockholm
Gavleborg,Sweden|Europe/Stockholm
Hradec Kralove Region,Sweden|Europe/Stockholm
Orebro,Sweden|Europe/Stockholm
Jonkoping,Sweden|Europe/Stockholm
Varmland,Sweden|Europe/Stockholm
Blekinge,Sweden|Europe/Stockholm
Ostergotland,Sweden|Europe/Stockholm
Jamtland,Sweden|Europe/Stockholm
Vasterbotten,Sweden|Europe/Stockholm
Kronoberg,Sweden|Europe/Stockholm
,Norway|Europe/Oslo
Akershus,Norway|Europe/Oslo
Rogaland,Norway|Europe/Oslo
Vestfold / Ostfold,Norway|Europe/Oslo
Oslo,Norway|Europe/Oslo
Finnmark / Troms / Nordland,Norway|Europe/Oslo
Sor-Trondelag / Nord-Trondelag,Norway|Europe/Oslo
Buskerud / Oppland / Hedmark,Norway|Europe/Oslo
More og Romsdal / Sogn og Fjordane,Norway|Europe/Oslo
Hordaland,Norway|Europe/Oslo
Vest-Agder / Aust-Agder / Telemark,Norway|Europe/Oslo
,Finland|Europe/Helsinki
,Aland Islands|Europe/Mariehamn
All Regions,Finland|America/Sao_Paulo
,Lithuania|Europe/Vilnius
All Regions,Lithuania|Europe/Vilnius
,Latvia|Europe/Riga
All Regions,Latvia|Europe/Riga
,Estonia|Europe/Tallinn
All Regions,Estonia|Europe/Tallinn
,Russia|Asia/Krasnoyarsk
All Regions,Russia|Asia/Krasnoyarsk
Astana,Kazakhstan|Asia/Almaty
,Ukraine|Europe/Kiev
All Regions,Ukraine|Europe/Kiev
Hradec Kralove Region,Ukraine|Europe/Kiev
,Belarus|Europe/Minsk
All Regions,Belarus|Europe/Minsk
,Moldova|Europe/Chisinau
All Regions,Moldova|Europe/Chisinau
łódzkie,Poland|Europe/Warsaw
śląskie,Poland|Europe/Warsaw
świętokrzyskie,Poland|Europe/Warsaw
zachodniopomorskie,Poland|Europe/Warsaw
pomorskie,Poland|Europe/Warsaw
mazowieckie,Poland|Europe/Warsaw
małopolskie,Poland|Europe/Warsaw
podlaskie,Poland|Europe/Warsaw
opolskie,Poland|Europe/Warsaw
lubelskie,Poland|Europe/Warsaw
dolnośląskie,Poland|Europe/Warsaw
kujawsko-pomorskie,Poland|Europe/Warsaw
podkarpackie,Poland|Europe/Warsaw
,Poland|Europe/Warsaw
warmińsko-mazurskie,Poland|Europe/Warsaw
wielkopolskie,Poland|Europe/Warsaw
lubuskie,Poland|Europe/Warsaw
Mazowieckie,Poland|Europe/Warsaw
Bayern,Germany|Europe/Berlin
,Germany|Europe/Berlin
Hamburg / Schleswig-Holstein,Germany|Europe/Berlin
Sachsen-Anhalt / Mecklenburg-Vorpommen,Germany|Europe/Berlin
Baden-Wuerttemberg,Germany|Europe/Berlin
Hessen,Germany|Europe/Berlin
Nordrhein-Westfalen,Germany|Europe/Berlin
Rheinland-Pfalz / Saarland,Germany|Europe/Berlin
Sachsen / Thueringen,Germany|Europe/Berlin
Berlin / Brandenburg,Germany|Europe/Berlin
,Gibraltar|Europe/Gibraltar
,Portugal|Europe/Lisbon
Regiao Norte,Portugal|America/Manaus
Regiao de Lisboa,Portugal|America/Santiago
Regiao Centro,Portugal|America/Sao_Paulo
Regiao de Alentejo,Portugal|Europe/Lisbon
Azores,Portugal|Atlantic/Azores
Regiao de Algarve,Portugal|Europe/Lisbon
Madeira,Portugal|Atlantic/Madeira
,Luxemburg|Europe/Luxembourg
All Regions,Luxemburg|Europe/Luxembourg
,Ireland|Europe/Dublin
All Regions,Ireland|Europe/Dublin
,Iceland|Atlantic/Reykjavik
,Malta|Europe/Malta
All Regions,Malta|Europe/Malta
,Cyprus|Asia/Nicosia
All Regions,Cyprus|America/Sao_Paulo
,Georgia|America/New_York
All Regions,Georgia|America/New_York
,Armenia|Asia/Yerevan
,Bulgaria|Europe/Sofia
All Regions,Bulgaria|Europe/Sofia
,Turkey|Europe/Istanbul
Istanbul,Turkey|Europe/Istanbul
Manisa,Turkey|Europe/Istanbul
Samsun,Turkey|Europe/Istanbul
Gaziantep,Turkey|Europe/Istanbul
Hatay,Turkey|Europe/Istanbul
Antalya,Turkey|Europe/Istanbul
Sanliurfa,Turkey|Europe/Istanbul
Mersin,Turkey|Europe/Istanbul
Adana,Turkey|Europe/Istanbul
Ankara,Turkey|Europe/Istanbul
Mugla,Turkey|Europe/Istanbul
Sakarva,Turkey|Europe/Istanbul
Kocael,Turkey|Europe/Istanbul
Tekirdag,Turkey|Europe/Istanbul
Konya,Turkey|Europe/Istanbul
Bursa,Turkey|Europe/Istanbul
Van,Turkey|Europe/Istanbul
Trabozon,Turkey|Europe/Istanbul
Izmir,Turkey|Europe/Istanbul
Aydin,Turkey|Europe/Istanbul
Balikesir,Turkey|Europe/Istanbul
Kahramanmaras,Turkey|Europe/Istanbul
Bilecik,Turkey|Europe/Istanbul
Kayseri,Turkey|Europe/Istanbul
Denzli,Turkey|Europe/Istanbul
Diyarbakir,Turkey|Europe/Istanbul
Eskisehir,Turkey|Europe/Istanbul
Malatya,Turkey|Europe/Istanbul
Ordu,Turkey|Europe/Istanbul
Mardin,Turkey|Europe/Istanbul
Erzurum,Turkey|Europe/Istanbul
,Faroe Islands|Atlantic/Faroe
,Greenland|America/Nuuk
,San Marino|Europe/San_Marino
,Slovenia|Europe/Ljubljana
All Regions,Slovenia|Europe/Ljubljana
All Regions,Macedonia|Europe/Skopje
,Macedonia|Europe/Skopje
,Liechtenstein|Europe/Vaduz
,Montenegro|Europe/Podgorica
All Regions,Montenegro|Europe/Podgorica
Prince Edward Island,Canada|America/Halifax
British Columbia,Canada|America/Vancouver
Nova Scotia,Canada|America/Halifax
Alberta,Canada|America/Edmonton
Manitoba,Canada|America/Winnipeg
New Brunswick,Canada|America/Moncton
Saskatchewan,Canada|America/Regina
Northern Territories,Canada|America/Yellowknife
,Canada|America/Yellowknife
Montana,United States|America/Denver
Utah,United States|America/Denver
Iowa,United States|America/Chicago
South Dakota,United States|America/Chicago
Wisconsin,United States|America/Chicago
Nebraska,United States|America/Chicago
Oklahoma,United States|America/Chicago
,United States|America/Chicago
West Virginia,United States|America/New_York
Idaho,United States|America/Boise
Alaska,United States|America/Anchorage
,Puerto Rico|America/Puerto_Rico
North Dakota,United States|America/Chicago
Rhode Island,United States|America/New_York
District Of Columbia,United States|America/New_York
District of Columbia,United States|America/New_York
All Regions,Puerto Rico|America/Puerto_Rico
Montevideo,Uruguay|America/Montevideo
North Island 2,New Zealand|Pacific/Auckland
Florida,UNITED STATES|America/New_York
Pennsylvania,UNITED STATES|America/New_York
Colorado,UNITED STATES|America/Denver
North Carolina,UNITED STATES|America/New_York
Kuwait,Kuwait|Asia/Kuwait
District of Columbia,Puerto Rico|America/New_York
All Regions,United States|America/Chicago
Florida,Puerto Rico|Atlantic/Canary
Maryland,Puerto Rico|Asia/Manila
Alabama,Puerto Rico|America/Puerto_Rico
Massachusetts,Puerto Rico|America/New_York
Connecticut,Puerto Rico|America/Los_Angeles
North Carolina,Puerto Rico|America/Puerto_Rico
Yucatan,Mexico|America/Merida
Quintana Roo,Mexico|America/Cancun
Tamaulipas,Mexico|America/Monterrey
Mexico City,Mexico|America/Mexico_City
Michoacan,Mexico|America/Mexico_City
Baja California Norte,Mexico|America/Mexico_City
San Luis Potosi,Mexico|America/Mexico_City
Puebla,Mexico|America/Mexico_City
Durango,Mexico|America/Monterrey
Chiapas,Mexico|America/Mexico_City
Guerrero,Mexico|America/Mexico_City
,Mexico|America/Mexico_City
Colima,Mexico|America/Mexico_City
Hidalgo,Mexico|America/Mexico_City
Guanajuato,Mexico|America/Mexico_City
Coahuila,Mexico|America/Matamoros
Mexico,Mexico|America/Mexico_City
Nuevo Leon,Mexico|America/Monterrey
Sonora,Mexico|America/Hermosillo
Zacatecas,Mexico|America/Mexico_City
Aguascalientes,Mexico|America/Mexico_City
Chihuahua,Mexico|America/Chihuahua
Jalisco,Mexico|America/Mexico_City
Sinaloa,Mexico|America/Mazatlan
Baja California Sur,Mexico|America/Mazatlan
Tlaxcala,Mexico|America/Mexico_City
Veracruz,Mexico|America/Mexico_City
Oaxaca,Mexico|America/Mexico_City
Morelos,Mexico|America/Mexico_City
Campeche,Mexico|America/Merida
Queretaro,Mexico|America/Mexico_City
Nayarit,Mexico|America/Mazatlan
Tabasco,Mexico|America/Mexico_City
St. Catherine,Jamaica|America/Jamaica
St. Andrew,Jamaica|America/Jamaica
St. James,Jamaica|America/Jamaica
Fort-De-France,Martinique|America/Martinique
Fort-de-France,Martinique|America/Martinique
,Guadeloupe|America/Guadeloupe
,Martinique|America/Martinique
Bridgetown,Barbados|America/Barbados
St. James,Barbados|America/Barbados
St. Michael,Barbados|America/Barbados
St. Philip,Barbados|America/Barbados
,Barbados|America/Barbados
St.George,Barbados|America/Barbados
St. Thomas,Barbados|America/Barbados
,Antigua and Barbuda|America/Antigua
,British Virgin Islands|America/Tortola
,Bermuda|Atlantic/Bermuda
,Grenada|America/Grenada
Saint Peter,Montserrat|America/Montserrat
,Saint Kitts and Nevis|America/St_Kitts
Saint Lucia,Saint Lucia|America/St_Lucia
,Saint Lucia|America/St_Lucia
Babonneau,Saint Lucia|America/St_Lucia
Kingstown,St. Vincent and Grenada|America/Los_Angeles
,St. Vincent and Grenada|America/Los_Angeles
,Curacao|America/Curacao
All Regions,Curacao|America/Curacao
,Aruba|America/Aruba
New Providence,Bahamas|America/Nassau
Eleuthera,Bahamas|America/Nassau
,Bahamas|America/Nassau
Andros,Bahamas|America/Nassau
,Anguilla|America/Anguilla
All Regions,Anguilla|America/Anguilla
Island,Dominica|America/Dominica
Patrick,Dominica|America/Dominica
Paul,Dominica|America/Dominica
Luke,Dominica|America/Dominica
George,Dominica|America/Dominica
John,Dominica|America/Dominica
,Dominica|America/Santo_Domingo
,Cuba|America/Havana
All Regions,Cuba|America/Havana
Santo Domingo,Dominican Republic|America/Santo_Domingo
,Dominican Republic|America/Santo_Domingo
La Vega,Dominican Republic|America/Santo_Domingo
Distrito Nacional,Dominican Republic|America/Santo_Domingo
Isla Beata,Dominican Republic|America/Santo_Domingo
Santiago,Dominican Republic|America/Santo_Domingo
Peravia,Dominican Republic|America/Santo_Domingo
Duarte,Dominican Republic|America/Santo_Domingo
Barahona,Dominican Republic|America/Santo_Domingo
Espaillat,Dominican Republic|America/Santo_Domingo
Azua,Dominican Republic|America/Santo_Domingo
Puerto Plata,Dominican Republic|America/Santo_Domingo
San Cristobal,Dominican Republic|America/Santo_Domingo
Baoruco,Dominican Republic|America/Santo_Domingo
Valverde,Dominican Republic|America/Santo_Domingo
San Pedro de Macoris,Dominican Republic|America/Santo_Domingo
Isla Saona,Dominican Republic|America/Santo_Domingo
Dajabon,Dominican Republic|America/Santo_Domingo
Monte Cristi,Dominican Republic|America/Santo_Domingo
La Altagracia,Dominican Republic|America/Santo_Domingo
La Romana,Dominican Republic|America/Santo_Domingo
Samana,Dominican Republic|America/Santo_Domingo
Monte Plata,Dominican Republic|America/Santo_Domingo
Maria Trinidad Sanchez,Dominican Republic|America/Santo_Domingo
Ouest,Haiti|America/Port-au-Prince
Nord,Haiti|America/Port-au-Prince
Sud-Est,Haiti|America/Port-au-Prince
,Trinidad and Tobago|America/Port_of_Spain
All Regions,Trinidad and Tobago|America/Port_of_Spain
Alabama,U.S. Virgin Islands|America/St_Thomas
South Carolina,U.S. Virgin Islands|America/St_Thomas
All Regions,U.S. Virgin Islands|America/St_Thomas
Florida,U.S. Virgin Islands|America/St_Thomas
,Azerbaijan|Asia/Baku
All Regions,Azerbaijan|Asia/Baku
Pavlodar,Kazakhstan|Asia/Almaty
,Kazakhstan|Asia/Almaty
Almaty,Kazakhstan|Asia/Almaty
Akmola,Kazakhstan|Asia/Almaty
Karaganda,Kazakhstan|Asia/Almaty
Aktobe,Kazakhstan|Asia/Aqtobe
Kastanay,Kazakhstan|Asia/Almaty
Karnataka,India|Asia/Kolkata
Kerala,India|Asia/Kolkata
Andhra Pradesh,India|Asia/Kolkata
West Bengal,India|Asia/Kolkata
Haryana,India|Asia/Kolkata
Tamil,India|Asia/Kolkata
Delhi,India|Asia/Kolkata
Uttar,India|Asia/Kolkata
Maharashtra,India|Asia/Kolkata
Bihar,India|Asia/Kolkata
Rajasthan,India|Asia/Kolkata
Gujarat,India|Asia/Kolkata
Punjab,India|Asia/Kolkata
,India|Asia/Kolkata
Orissa,India|Asia/Kolkata
Tennessee,India|Asia/Kolkata
Delaware,India|Asia/Kolkata
Himachal,India|Asia/Kolkata
Madhya,India|Asia/Kolkata
Jharkhand,India|Asia/Kolkata
Chhattisgara,India|Asia/Kolkata
Sikkim,India|Asia/Kolkata
Bombay Province,India|Asia/Kolkata
Punjab,Pakistan|Asia/Karachi
,Pakistan|Asia/Karachi
All Regions,Pakistan|America/Sao_Paulo
,Sri Lanka|Asia/Colombo
All Regions,Sri Lanka|Asia/Colombo
Beirut,Lebanon|Asia/Beirut
Mount Lebanon,Lebanon|Asia/Beirut
Tripoli,Lebanon|Asia/Beirut
,Lebanon|Asia/Beirut
North,Lebanon|Asia/Beirut
,Jordan|Asia/Amman
All Regions,Jordan|America/Sao_Paulo
Baghdad,Iraq|Asia/Baghdad
,Iraq|Asia/Baghdad
,Saudi Arabia|Asia/Riyadh
Makkah,Saudi Arabia|Asia/Riyadh
Riyadh,Saudi Arabia|Asia/Riyadh
Ash-Sharqiyyah,Saudi Arabia|Asia/Riyadh
Amanat Al-Asemah,Yemen|Asia/Aden
,Oman|Asia/Muscat
All Regions,Oman|Asia/Muscat
,OMAN|Asia/Muscat
,Israel|Asia/Jerusalem
Central,Israel|America/Asuncion
Southern,Israel|Asia/Manila
Tel Aviv,Israel|Asia/Jerusalem
Northern,Israel|Asia/Jerusalem
Haifa,Israel|Asia/Jerusalem
Jerusalem,Israel|Asia/Jerusalem
Southern,Bahrain|Asia/Bahrain
Northern,Bahrain|Asia/Bahrain
,Bahrain|Asia/Bahrain
Muharraq,Bahrain|Asia/Bahrain
Bahrain,Bahrain|Asia/Bahrain
Capital,Bahrain|Asia/Bahrain
Qatar,Qatar|Asia/Qatar
,Qatar|Asia/Qatar
Ulan Bataar,Mongolia|Asia/Ulaanbaatar
North,Mongolia|Europe/Berlin
,Nepal|Asia/Kathmandu
,United Arab Emirates|Asia/Dubai
Sharjah,United Arab Emirates|Asia/Dubai
Abu Dhabi,United Arab Emirates|Asia/Dubai
Dubai,United Arab Emirates|Asia/Dubai
Ajman,United Arab Emirates|Asia/Dubai
Rasal-Khaiman,United Arab Emirates|Asia/Dubai
Fujarah,United Arab Emirates|Asia/Dubai
Umm al-Quwain,United Arab Emirates|Asia/Dubai
Teheran,Iran|Asia/Tehran
All Regions,Uzbekistan|Asia/Samarkand
,Uzbekistan|Asia/Samarkand
,Kyrgyzstan|Asia/Bishkek
Shinetsu,Japan|Asia/Tokyo
Tohoku,Japan|Asia/Tokyo
Kanto,Japan|Asia/Tokyo
Chugoku,Japan|Asia/Tokyo
,Japan|Asia/Tokyo
Kyushu,Japan|Asia/Tokyo
Hokkaido,Japan|Asia/Tokyo
Kinki,Japan|Asia/Tokyo
Tokai,Japan|Asia/Tokyo
Shikoku,Japan|Asia/Tokyo
Hokuriku,Japan|Asia/Tokyo
,Hong Kong|Asia/Hong_Kong
,Korea Republic of|Asia/Seoul
BuSan Si,Korea Republic of|Asia/Seoul
KyungKi-Do,Korea Republic of|Asia/Seoul
Seoul,Korea Republic of|Asia/Seoul
KyungSang Nam-Do,Korea Republic of|Asia/Seoul
KWangJu Si,Korea Republic of|Asia/Seoul
DaeKu Si,Korea Republic of|Asia/Seoul
Busan Si,Korea Republic of|Asia/Seoul
Gijang gun,Korea Republic of|Asia/Seoul
InChon Si,Korea Republic of|Asia/Seoul
ChungChong Nam-Do,Korea Republic of|Asia/Seoul
KyungSang Buk-Do,Korea Republic of|Asia/Seoul
DaeJeon Si,Korea Republic of|Asia/Seoul
ChungChong Buk-Do,Korea Republic of|Asia/Seoul
CheJu-Do,Korea Republic of|Asia/Seoul
Gyeonggi Province,Korea Republic of|Asia/Seoul
Jeonlla Nam Do,Korea Republic of|Asia/Seoul
